date,Materials,Industrials,Health Care,Real Estate,Consumer Discretionary,Financials,Utilities,Information Technology,Energy,Consumer Staples,Communication Services
2019-09-26,64.98807307692307,77.07410447761194,76.0648294117647,52.88315357142858,73.42996666666666,58.81725757575759,69.708,64.16115263157894,50.698776470588236,86.9946125,52.93638333333333
2019-09-27,64.64538846153846,76.63058059701491,75.35860882352942,52.42746428571428,73.05806190476191,58.41695151515152,69.25266666666666,62.94938684210525,50.512011764705875,85.93088125000001,52.28595
2019-09-30,65.08095769230769,77.26828507462686,76.16556470588233,52.46443928571428,73.74591746031744,58.59189393939394,69.44066666666666,63.48335263157894,51.51247647058824,87.08993124999999,52.948816666666666
2019-10-01,64.27768846153846,75.29178656716418,74.70244117647059,52.030678571428574,73.07226825396825,57.35622575757576,68.96,62.10835789473684,50.156841176470586,87.05056875,52.639466666666664
2019-10-02,63.46076538461538,73.98434179104477,73.65708235294116,51.832632142857136,71.82433333333334,56.344084848484854,68.14466666666667,61.278494736842106,49.15278235294117,85.65559375,50.950133333333326
2019-10-03,63.644611538461525,74.3388447761194,74.8113205882353,52.30816428571428,72.1639365079365,56.43740909090909,68.32333333333334,62.06361052631578,49.52255294117647,85.834975,51.59095
2019-10-04,64.4157653846154,75.19455373134328,75.78444117647061,52.72440357142857,72.75314126984122,57.28431666666667,69.17533333333333,63.07211842105263,48.50613529411765,87.80465625,52.0949
2019-10-07,64.23961153846153,74.76067761194031,75.36431470588235,52.67351785714285,72.44924920634921,56.973460606060605,68.82666666666667,62.88349736842105,48.379229411764705,86.74247500000001,51.97906666666666
2019-10-08,63.30577307692308,73.52530447761195,73.33656176470588,52.387810714285706,71.23917301587299,55.82959848484848,67.97866666666667,61.060763157894726,48.399794117647055,85.6353125,50.83098333333333
2019-10-09,63.649230769230776,74.1148552238806,74.25855,52.41852499999999,71.78131587301587,56.352913636363645,68.26599999999999,61.8980289473684,47.72805882352941,86.30783125,51.148133333333334
2019-10-10,63.934996153846164,74.74413283582089,74.75838235294117,52.44494642857143,72.22663174603174,56.8194803030303,68.43466666666666,62.11768684210526,48.34604705882353,86.25345625,51.63198333333333
2019-10-11,64.69038846153846,76.30043134328359,75.84380294117648,52.76388214285714,73.66980476190476,57.717268181818184,68.866,63.536165789473685,48.74395294117647,87.64968124999999,53.10361666666667
2019-10-14,64.26192307692308,76.01649701492538,75.73122647058824,52.77460000000001,73.52051904761903,57.64458333333333,68.19733333333333,62.99903684210526,48.26752352941177,87.03249375,52.917699999999996
2019-10-15,64.01268846153846,76.66492238805971,76.73835588235293,52.875321428571425,74.21305873015874,58.102456060606066,67.63333333333334,63.96276842105262,48.43423529411765,86.58343749999999,52.99278333333333
2019-10-16,64.0753846153846,76.45186567164177,76.57359705882354,50.55996428571429,74.5265507936508,58.033137878787876,67.702,63.39823421052631,47.96779411764706,86.24034375,53.275183333333324
2019-10-17,64.48346538461539,77.51838656716419,77.4254588235294,50.85565714285714,74.9022650793651,58.37311060606061,68.24133333333333,64.08028684210525,47.75867058823529,88.0481125,53.65359999999999
2019-10-18,64.80846153846154,77.4771253731343,77.19746176470588,51.14455357142857,74.77797777777776,58.532359090909104,68.62133333333334,63.394592105263165,47.32622352941177,82.92999999999998,52.620066666666666
2019-10-21,64.59769615384617,77.80044776119404,77.37915294117647,51.5259857142857,75.11908888888887,59.15778636363636,68.67266666666667,63.97082631578947,47.88153529411765,83.33322352941177,53.59328333333333
2019-10-22,64.84115769230769,77.88682537313433,77.03077058823531,51.425271428571435,75.36147142857143,58.73700454545454,68.74333333333334,63.53185789473683,48.69622352941176,82.93587647058824,53.59645
2019-10-23,65.06576923076925,77.916434375,77.0658882352941,51.62992499999999,75.41591587301588,59.07551875,68.94600000000001,63.34690263157894,52.168512500000006,80.61764705882354,58.29952
2019-10-24,65.83788076923078,78.19447761194029,76.87806764705881,51.96563928571429,75.6994857142857,58.24602272727273,68.79066666666667,64.32950526315788,48.60801764705882,81.3276588235294,53.58843333333333
2019-10-25,66.40500384615385,78.55659999999999,76.67778529411763,51.76600714285714,76.32266190476189,58.38836060606061,68.16133333333335,64.91955526315789,48.91589999999999,80.93939999999999,54.145950000000006
2019-10-28,66.93423461538463,79.09070597014924,76.17952285714284,51.86244285714285,76.20448730158728,58.819100000000006,67.35933333333334,65.82025526315789,49.236205882352934,81.24761176470587,54.58895
2019-10-29,67.44115384615385,79.65884477611941,76.56557714285715,52.10208214285714,76.00067777777777,59.29817878787879,67.57866666666668,65.14107105263157,48.1509588235294,81.28348235294116,54.559333333333335
2019-10-30,67.0603846153846,79.49584626865673,75.72770285714286,52.34707142857143,75.6742492063492,59.08015303030304,68.158,65.05588421052632,47.909194117647054,81.27231176470589,53.22205
2019-10-31,66.62769230769231,78.79319850746269,74.87276285714286,52.098503571428566,75.52226507936507,58.2482196969697,67.986,65.60255263157894,46.45979411764705,81.76114705882354,51.045249999999996
2019-11-01,66.91231153846155,80.31792238805971,77.56684857142858,52.157125,75.93647301587302,58.76671212121213,68.14200000000001,66.73429473684212,50.25565294117647,82.92701764705882,51.1264
2019-11-04,66.8973076923077,80.7503,77.71176285714286,52.10427499999999,76.32020476190475,59.279333333333334,66.736,67.42768947368421,51.276841176470576,81.69642941176471,51.23168333333333
2019-11-05,67.40750384615383,80.87495820895523,77.75331142857141,51.74716428571428,76.89544126984127,59.52809393939393,66.26333333333334,67.97191578947367,52.44974705882353,81.42347647058823,51.7815
